FEN,Evaluation,Result
r1b2rk1/pB3pp1/3q4/2p3p1/4Q3/PR4PP/1PP2P2/1K5R b - - 0 1,142,1.0
r4rk1/pb3pp1/3q4/2p3p1/4Q3/PR4PP/1PP2P2/1K5R w - - 0 1,-217,1.0
r4rk1/pR3pp1/3q4/2p3p1/4Q3/P5PP/1PP2P2/1K5R b - - 0 1,140,1.0
rr4k1/pR3pp1/3q4/2p3p1/4Q3/P5PP/1PP2P2/1K5R w - - 0 1,146,1.0
rr4k1/pR3pp1/3q4/2p3p1/4Q3/P5PP/1PP2P2/1K2R3 b - - 0 1,153,1.0
rr4k1/pR3pp1/8/2p3p1/4Q3/P5PP/1PPq1P2/1K2R3 w - - 0 1,164,1.0
rr4k1/pR3pp1/8/2p3p1/4Q3/P5PP/1PPq1P2/1K3R2 b - - 0 1,157,1.0
rr4k1/pR3pp1/8/2p3p1/3qQ3/P5PP/1PP2P2/1K3R2 w - - 0 1,146,1.0
rr4k1/pR3pp1/8/2p3p1/3q4/P4QPP/1PP2P2/1K3R2 b - - 0 1,134,1.0
rr4k1/pR3pp1/8/2p3p1/2q5/P4QPP/1PP2P2/1K3R2 w - - 0 1,138,1.0
rr4k1/pR3pp1/8/2p3p1/2q5/P4QPP/1PP2P2/1K2R3 b - - 0 1,157,1.0
rr4k1/1R3pp1/p7/2p3p1/2q5/P4QPP/1PP2P2/1K2R3 w - - 0 1,157,1.0
rr4k1/1R3pp1/p7/2p3p1/2q5/PP3QPP/2P2P2/1K2R3 b - - 0 1,140,1.0
rr4k1/1R3pp1/p7/2p5/2q3p1/PP3QPP/2P2P2/1K2R3 w - - 0 1,137,1.0
rr4k1/1R3pp1/p7/2p5/2q3P1/PP3QP1/2P2P2/1K2R3 b - - 0 1,233,1.0
rr4k1/1R3pp1/p7/2p5/3q2P1/PP3QP1/2P2P2/1K2R3 w - - 0 1,223,1.0
rr4k1/1R3Qp1/p7/2p5/3q2P1/PP4P1/2P2P2/1K2R3 b - - 0 1,330,1.0
rr5k/1R3Qp1/p7/2p5/3q2P1/PP4P1/2P2P2/1K2R3 w - - 0 1,338,1.0
rnbqkb1r/pppp1ppp/4pn2/8/5P2/7N/PPPPP1PP/RNBQKB1R w KQkq - 0 1,-86,0.5
rnbqkb1r/pppp1ppp/4pn2/8/5P2/2N4N/PPPPP1PP/R1BQKB1R b KQkq - 0 1,-28,0.5
rnbqkb1r/ppp2ppp/4pn2/3p4/5P2/2N4N/PPPPP1PP/R1BQKB1R w KQkq d6 0 1,-76,0.5
rnbqkb1r/ppp2ppp/4pn2/3p4/3P1P2/2N4N/PPP1P1PP/R1BQKB1R b KQkq d3 0 1,-28,0.5
r1bqkb1r/ppp2ppp/2n1pn2/3p4/3P1P2/2N4N/PPP1P1PP/R1BQKB1R w KQkq - 0 1,-86,0.5
r1bqkb1r/ppp2ppp/2n1pn2/3p4/3P1P2/2N5/PPP1PNPP/R1BQKB1R b KQkq - 0 1,-54,0.5
r1bqk2r/ppp2ppp/2n1pn2/3p4/1b1P1P2/2N5/PPP1PNPP/R1BQKB1R w KQkq - 0 1,-73,0.5
r1bqk2r/ppp2ppp/2n1pn2/3p4/1b1P1P2/2N1P3/PPP2NPP/R1BQKB1R b KQkq - 0 1,-35,0.5
r1b1k2r/ppp2ppp/2nqpn2/3p4/1b1P1P2/2N1P3/PPP2NPP/R1BQKB1R w KQkq - 0 1,-49,0.5
r1b1k2r/ppp2ppp/2nqpn2/3p4/1b1P1P2/2NBP3/PPP2NPP/R1BQK2R b KQkq - 0 1,-23,0.5
r3k2r/pppb1ppp/2nqpn2/3p4/1b1P1P2/2NBP3/PPP2NPP/R1BQK2R w KQkq - 0 1,-31,0.5
r3k2r/pppb1ppp/2nqpn2/3p4/1b1P1P2/2NBP3/PPPB1NPP/R2QK2R b KQkq - 0 1,-17,0.5
r4rk1/pppb1ppp/2nqpn2/3p4/1b1P1P2/2NBP3/PPPB1NPP/R2QK2R w KQ - 0 1,-53,0.5
r4rk1/pppb1ppp/2nqpn2/1N1p4/1b1P1P2/3BP3/PPPB1NPP/R2QK2R b KQ - 0 1,-62,0.5
r4rk1/pppbqppp/2n1pn2/1N1p4/1b1P1P2/3BP3/PPPB1NPP/R2QK2R w KQ - 0 1,-57,0.5
r4rk1/ppNbqppp/2n1pn2/3p4/1b1P1P2/3BP3/PPPB1NPP/R2QK2R b KQ - 0 1,54,0.5
2r2rk1/ppNbqppp/2n1pn2/3p4/1b1P1P2/3BP3/PPPB1NPP/R2QK2R w KQ - 0 1,58,0.5
2r2rk1/pp1bqppp/2n1pn2/1N1p4/1b1P1P2/3BP3/PPPB1NPP/R2QK2R b KQ - 0 1,57,0.5
2r2rk1/pp1bqppp/2n1pn2/1N1p4/3P1P2/3BP3/PPPb1NPP/R2QK2R w KQ - 0 1,-308,0.5
2r2rk1/pp1bqppp/2n1pn2/1N1p4/3P1P2/3BP3/PPPQ1NPP/R3K2R b KQ - 0 1,71,0.5
2r2rk1/1p1bqppp/p1n1pn2/1N1p4/3P1P2/3BP3/PPPQ1NPP/R3K2R w KQ - 0 1,69,0.5
2r2rk1/1p1bqppp/p1n1pn2/3p4/3P1P2/2NBP3/PPPQ1NPP/R3K2R b KQ - 0 1,76,0.5
2r2rk1/1p1b1ppp/p1n1pn2/3p4/1q1P1P2/2NBP3/PPPQ1NPP/R3K2R w KQ - 0 1,62,0.5
2r2rk1/1p1b1ppp/p1n1pn2/3p4/1q1P1P2/2NBP3/PPPQ1NPP/R4RK1 b - - 0 1,100,0.5
2r2rk1/1p1bnppp/p3pn2/3p4/1q1P1P2/2NBP3/PPPQ1NPP/R4RK1 w - - 0 1,101,0.5
2r2rk1/1p1bnppp/p3pn2/3p4/1q1P1P2/2NBP3/PPPQ1NPP/1R3RK1 b - - 0 1,97,0.5
2r2rk1/1p1b1ppp/p3pn2/3p1n2/1q1P1P2/2NBP3/PPPQ1NPP/1R3RK1 w - - 0 1,73,0.5
2r2rk1/1p1b1ppp/p3pn2/3p1n2/1q1P1PP1/2NBP3/PPPQ1N1P/1R3RK1 b - g3 0 1,61,0.5
2r2rk1/1p1b1ppp/p3pn2/3p4/1q1P1PPn/2NBP3/PPPQ1N1P/1R3RK1 w - - 0 1,116,0.5
2r2rk1/1p1b1ppp/p3pn2/3p4/1q1P1PPn/2N1P3/PPPQBN1P/1R3RK1 b - - 0 1,102,0.5
2r2rk1/1p3ppp/p3pn2/1b1p4/1q1P1PPn/2N1P3/PPPQBN1P/1R3RK1 w - - 0 1,96,0.5
2r2rk1/1p3ppp/p3pn2/1b1p4/1q1P1PPn/P1N1P3/1PPQBN1P/1R3RK1 b - - 0 1,98,0.5
2r2rk1/1p3ppp/p3pn2/3p4/1q1P1PPn/P1N1P3/1PPQbN1P/1R3RK1 w - - 0 1,-242,0.5
2r2rk1/1p3ppp/p3pn2/3p4/1q1P1PPn/P1N1P3/1PP1QN1P/1R3RK1 b - - 0 1,106,0.5
2r2rk1/1p3ppp/p3pn2/3p4/2qP1PPn/P1N1P3/1PP1QN1P/1R3RK1 w - - 0 1,103,0.5
2r2rk1/1p3ppp/p3pn2/3p4/2qP1PPn/P1NNP3/1PP1Q2P/1R3RK1 b - - 0 1,126,0.5
2r2rk1/1p3ppp/p3p3/3p4/2qPnPPn/P1NNP3/1PP1Q2P/1R3RK1 w - - 0 1,110,0.5
